Date,Texas,U.S.,,
10-Jan,$21.31 ,$22.51 ,,
10-Feb,$21.41 ,$22.57 ,,
10-Mar,$21.31 ,$22.48 ,,
10-Apr,$21.42 ,$22.53 ,,
10-May,$21.39 ,$22.60 ,,
10-Jun,$21.17 ,$22.34 ,,
10-Jul,$21.29 ,$22.41 ,,
10-Aug,$21.37 ,$22.54 ,,
10-Sep,$21.43 ,$22.60 ,,
10-Oct,$21.44 ,$22.69 ,,
10-Nov,$21.48 ,$22.69 ,,
10-Dec,$21.32 ,$22.76 ,,
11-Jan,$21.95 ,$23.16 ,,
11-Feb,$22.00 ,$22.99 ,,
11-Mar,$21.84 ,$22.90 ,,
11-Apr,$21.92 ,$22.96 ,,
11-May,$22.02 ,$23.06 ,,
11-Jun,$21.74 ,$22.81 ,,
11-Jul,$21.90 ,$22.94 ,,
11-Aug,$21.86 ,$22.84 ,,
11-Sep,$21.94 ,$23.05 ,,
11-Oct,$22.22 ,$23.29 ,,
11-Nov,$22.15 ,$23.14 ,,
11-Dec,$22.10 ,$23.21 ,,
12-Jan,$22.36 ,$23.55 ,,
12-Feb,$22.15 ,$23.40 ,,
12-Mar,$21.98 ,$23.38 ,,
12-Apr,$22.28 ,$23.61 ,,
12-May,$21.97 ,$23.32 ,,
12-Jun,$21.89 ,$23.26 ,,
12-Jul,$22.18 ,$23.48 ,,
12-Aug,$21.94 ,$23.26 ,,
12-Sep,$22.37 ,$23.67 ,,
12-Oct,$22.24 ,$23.51 ,,
12-Nov,$22.34 ,$23.58 ,,
12-Dec,$22.67 ,$23.85 ,,
13-Jan,$22.69 ,$23.87 ,,
13-Feb,$22.65 ,$23.90 ,,
13-Mar,$22.56 ,$23.84 ,,
13-Apr,$22.75 ,$23.92 ,,
13-May,$22.68 ,$23.79 ,,
13-Jun,$22.81 ,$23.92 ,,
13-Jul,$22.73 ,$23.80 ,,
13-Aug,$22.73 ,$23.79 ,,
13-Sep,$23.10 ,$24.16 ,,
13-Oct,$23.07 ,$24.04 ,,
13-Nov,$23.14 ,$24.11 ,,
13-Dec,$23.38 ,$24.30 ,,
14-Jan,$23.42 ,$24.34 ,,
14-Feb,$23.70 ,$24.58 ,,
14-Mar,$23.67 ,$24.49 ,,
14-Apr,$23.61 ,$24.40 ,,
14-May,$23.72 ,$24.30 ,, 
14-Jun,$23.83 ,$24.42 ,,
14-Jul,$23.67 ,$24.30 ,,
14-Aug,$23.68 ,$24.32 ,,
14-Sep,$23.86 ,$24.50 ,,
14-Oct,$24.02 ,$24.52 ,,
14-Nov,$24.27 ,$24.78 ,,
14-Dec,$24.13 ,$24.58 ,,
15-Jan,$24.36 ,$24.87 ,,
15-Feb,$24.56 ,$25.05 ,,
15-Mar,$24.46 ,$25.04 ,,
15-Apr,$24.30 ,$24.94 ,,
15-May,$24.28 ,$24.88 ,,
15-Jun,$24.16 ,$24.76 ,,
15-Jul,$24.13 ,$24.83 ,,
15-Aug,$24.52 ,$25.03 ,,
15-Sep,$24.36 ,$25.05 ,,
15-Oct,$24.50 ,$25.14 ,,
15-Nov,$24.62 ,$25.37 ,,
15-Dec,$24.35 ,$25.20 ,,
16-Jan,$24.62 ,$25.50 ,,
16-Feb,$24.46 ,$25.48 ,,
16-Mar,$24.53 ,$25.49 ,,
16-Apr,$24.43 ,$25.59 ,,
16-May,$24.67 ,$25.67 ,,
16-Jun,$24.31 ,$25.41 ,,
16-Jul,$24.39 ,$25.52 ,,
16-Aug,$24.42 ,$25.50 ,,
16-Sep,$24.58 ,$25.73 ,,
16-Oct,$25.04 ,$26.02 ,,
16-Nov,$24.79 ,$25.84 ,,
16-Dec,$24.85 ,$25.87 ,,
17-Jan,$25.37 ,$26.31 ,,
17-Feb,$25.18 ,$26.17 ,,
17-Mar,$25.14 ,$26.14 ,,
17-Apr,$25.62 ,$26.42 ,,
17-May,$25.26 ,$26.13 ,,
17-Jun,$25.04 ,$26.03 ,,
17-Jul,$25.57 ,$26.35 ,,
17-Aug,$25.24 ,$26.17 ,,
17-Sep,$25.48 ,$26.46 ,,
17-Oct,$25.82 ,$26.62 ,,
17-Nov,$25.60 ,$26.47 ,,
17-Dec,$25.68 ,$26.58 ,,
18-Jan,$25.74 ,$26.86 ,,
18-Feb,$25.70 ,$26.84 ,,
18-Mar,$25.62 ,$26.87 ,,
18-Apr,$25.86 ,$27.16 ,,
18-May,$25.56 ,$26.90 ,,
18-Jun,$25.58 ,$26.79 ,,
18-Jul,$26.01 ,$27.10 ,,
18-Aug,$25.85 ,$27.00 ,,
18-Sep,$26.22 ,$27.45 ,,
18-Oct,$26.03 ,$27.31 ,,
18-Nov,$26.17 ,$27.35 ,,
18-Dec,$26.56 ,$27.69 ,,
19-Jan,$26.33 ,$27.72 ,,
19-Feb,$26.29 ,$27.79 ,,
19-Mar,$26.09 ,$27.79 ,,
19-Apr,$26.07 ,$27.86 ,,
19-May,$26.08 ,$27.78 ,,
19-Jun,$26.07 ,$27.90 ,,
19-Jul,$25.92 ,$27.87 ,,
19-Aug,$25.96 ,$27.94 ,,
19-Sep,$26.31 ,$28.30 ,,
19-Oct,$26.22 ,$28.19 ,,
19-Nov,$26.45 ,$28.26 ,,
19-Dec,$26.83 ,$28.51 ,,
20-Jan,$26.70 ,$28.56 ,,
20-Feb,$26.94 ,$28.82 ,,
20-Mar,$26.88 ,$28.88 ,,
20-Apr,$27.44 ,$30.08 ,,
20-May,$26.91 ,$29.61 ,,
20-Jun,$26.62 ,$29.08 ,,
20-Jul,$26.90 ,$29.23 ,,
